integer_key,column_name,reference_name,display_name,short_display_name,Description,value_mappings
66,c_66,currentmonth,currentmonth,currentmonth,currentmonth,"{ ""1"": ""January"", ""2"": ""February"", ""3"": ""March"", ""4"": ""April"", ""5"": ""May"", ""6"": ""June"", ""7"": ""July"", ""8"": ""August"", ""9"": ""September"", ""10"": ""October"", ""11"": ""November"", ""12"": ""December""}"
67,c_67,currentyear,currentyear,currentyear,currentyear,
68,c_68,apiversion,apiversion,apiversion,apiversion,
69,c_69,installationdate,installationdate,installationdate,installationdate,
70,c_70,lastupdate,lastupdate,lastupdate,lastupdate,
71,c_71,databaseid,databaseid,databaseid,databaseid,
72,c_72,languagesinstalled,languagesinstalled,languagesinstalled,languagesinstalled,
73,c_73,languagesselected,languagesselected,languagesselected,languagesselected,"{ ""ENU"": ""English"", ""CHS"": ""Simplified Chinese"", ""CHT"": ""Traditional Chinese"", ""DAN"": ""Danish"", ""DEU"": ""German"", ""FRA"": ""French"", ""JPN"": ""Japanese"", ""KOR"": ""Korean"", ""THA"": ""Thai""}"
74,c_74,backccstag,backccstag,backccstag,backccstag,
75,c_75,vpnconnectionsuccesscount,vpnconnectionsuccesscount,vpnconnectionsuccesscount,vpnconnectionsuccesscount,
76,c_76,vpnconnectionfailurecount,vpnconnectionfailurecount,vpnconnectionfailurecount,vpnconnectionfailurecount,
77,c_77,connectmaintchangecount,connectmaintchangecount,connectmaintchangecount,connectmaintchangecount,
78,c_78,bytemobilepresent,bytemobilepresent,bytemobilepresent,bytemobilepresent,
79,c_79,bytemobileusedonlastwwan,bytemobileusedonlastwwan,bytemobileusedonlastwwan,bytemobileusedonlastwwan,
80,c_80,helpfileselectedcount,helpfileselectedcount,helpfileselectedcount,helpfileselectedcount,
81,c_81,updatenowselectedcount,updatenowselectedcount,updatenowselectedcount,updatenowselectedcount,
82,c_82,wifienableddisabledcount,wifienableddisabledcount,wifienableddisabledcount,wifienableddisabledcount,
83,c_83,smsreceivedcount,smsreceivedcount,smsreceivedcount,smsreceivedcount,
84,c_84,wifiuserprofilecount,wifiuserprofilecount,wifiuserprofilecount,wifiuserprofilecount,
85,c_85,hotspotlocatorselectedcount,hotspotlocatorselectedcount,hotspotlocatorselectedcount,hotspotlocatorselectedcount,
86,c_86,usagemeterselectedcount,usagemeterselectedcount,usagemeterselectedcount,usagemeterselectedcount,
87,c_87,usagemeterdetailselectedcount,usagemeterdetailselectedcount,usagemeterdetailselectedcount,usagemeterdetailselectedcount,
88,c_88,smsiprcapiusagecount,smsiprcapiusagecount,smsiprcapiusagecount,smsiprcapiusagecount,
89,c_89,errormessagereceived,errormessagereceived,errormessagereceived,errormessagereceived,
90,c_90,menuitemusagecount,menuitemusagecount,menuitemusagecount,menuitemusagecount,
91,c_91,msisdnseen,msisdnseen,msisdnseen,msisdnseen,
137,c_137,networklocationid,Network Location ID,networklocationid,Network Location ID,
138,c_138,wimaxbasestationid,Wimax Base Station ID,wimaxbasestationid,Wimax Base Station ID,
139,c_139,gpslongitudelocation,GPS – Longitude,gpslongitudelocation,GPS - Longitude,
140,c_140,gpslatitudelocation,GPS – Latitude,gpslatitudelocation,GPS - Latitude,
141,c_141,totaldatatransmitted,Total Usage Up,totaldatatransmitted,Total data sent,
142,c_142,totaldatadownloaded,Total Usage Down,totaldatadownloaded,Total data received,
143,c_143,networkusagetotals,Total sent + received,networkusagetotals,Total sent + received,
144,c_144,successfulconnectionsbysession,Total connections all technologies,successfulconnectionsbysession,Total connections all technologies,
145,c_145,wwanbytestransfered,Cellular Bytes Transferred,wwanbytestransfered,# of Bytes Transferred over Cellular,
146,c_146,wifibytestransfered,WiFi Bytes Transferred,wifibytestransfered,# of Bytes Transferred over WiFi,
147,c_147,wimaxbytestransfered,WiMAX Bytes Transferred,wimaxbytestransfered,# of Bytes Transferred over WiMAX,
148,c_148,connectedwifissid,Connected WiFi SSID.,connectedwifissid,This represents the Connected WiFi SSID.,
149,c_149,devicedriverversionnumber,Device Driver Version Number.,devicedriverversionnumber,This provides the Device Driver Version Number.,
150,c_150,droppedcalls,Dropped Call Count,droppedcalls,This represents a Loss of Signal or Dropped Call.  It is a counter of dropped calls.,
151,c_151,wwansuccessfulconnectioncount,WWAN Successful Connection Count,wwansuccessfulconnectioncount,This represents the number of times the connection was successful for WWAN.,
152,c_152,mobileequipmentid,Mobile Equipment ID,mobileequipmentid,This represents the Mobile Equipment ID.,
156,c_156,wwanconnectionfailurecount,3G Connection failures,wwanconnectionfailurecount,3G Connection failures,
157,c_157,lanmacaddress,LAN MAC Address Ethernet adapter,lanmacaddress,MAC Address Ethernet adapter,
158.1,c_158_1,connectionattemptsbytechnologywifi,WiFI Connection Attempts,connectionattemptsbytechnologywifi,Number of Connection Attempts by Technology for WiFi,
158.2,c_158_2,connectionattemptsbytechnologycdmagprs,Cellular Connection Attempts,connectionattemptsbytechnologycdmagprs,Number of Connection Attempts by Technology for CDMA/GPRS,
158.3,c_158_3,connectionattemptsbytechnologywimax,WiMAX Connection Attempts,connectionattemptsbytechnologywimax,Number of Connection Attempts by Technology for WiMAX,
158.4,c_158_4,connectionattemptsbytechnologyethernet,Ethernet Connection Attempts,connectionattemptsbytechnologyethernet,Number of Connection Attempts by Technology for Ethernet,
159,c_159,technologyconnection,"Connection Type  (WiFi, Ethernet, WWAN, WiMAX, Dialup, or VPN)",technologyconnection,"This represents the type of connection that this configuration represents. This could be WiFi, Ethernet, WWAN, WiMAX, Dialup, or VPN.","{ ""1"": ""WiFi"", ""2"": ""3G"", ""3"": ""4G"" }"
160.1,c_160_1,technologyerrorcodewifi,WiFi Error Codes / Count,technologyerrorcodewifi,This represents the Error Codes generated for WiFi when this connection was active as well as the number of times each Error Code was generated.,
160.2,c_160_2,technologyerrorcodecdmagprs,Cellular Error Codes/Count,technologyerrorcodecdmagprs,This represents the Error Codes generated for CDMA/GPRS when this connection was active as well as the number of times each Error Code was generated.,
160.3,c_160_3,technologyerrorcodewimax,WiMAX Error Code/Count,technologyerrorcodewimax,This represents the Error Codes generated for WiMAX when this connection was active as well as the number of times each Error Code was generated.,
160.4,c_160_4,technologyerrorcodeethernet,Ethernet Error Codes/Count,technologyerrorcodeethernet,This represents the Error Codes generated for Ethernet when this connection was active as well as the number of times each Error Code was generated.,
161,c_161,technologyerrormessage,User Error Message Displayed,technologyerrormessage,This provides details on the specific Error Codes.This is the error message displayed to the user,
162.1,c_162_1,technologysignalstrengthpercentwifi,WiFi Signal Strength %,Signal Str%,This represents the Signal Strength Percentage for WiFi,
